Country,Country code
Afghanistan,93
Albania,355
Algeria,213
Angola,244
Argentina,54
Armenia,374
Australia,61
Austria,43
Azerbaijan,994
Bahrain,973
Bangladesh,880
Barbados,1246
Belarus,375
Belgium,32
Belize,501
Bhutan,975
Bolivia,591
Bosnia,387
Botswana,267
Brazil,55
Brunei,673
Bulgaria,359
Burkina Faso,226
Cambodia,855
Cameroon,237
Canada,1
Cape Verde,238
Chad,235
Chile,56
China,86
Colombia,57
Comoros,269
Congo Brazaville,242
Costa Rica,506
Croatia,385
Cyprus,357
Czech Republic,420
Denmark,45
Djibouti,253
Dominica,1767
Dominican Republic,1809
Dominican Republic,1829
Dominican Republic,1849
DR Congo,243
Ecuador,593
Egypt,20
El Salvador,503
Equatorial Guinea,240
Eritrea,291
Estonia,372
Ethiopia,251
Fiji,679
Finland,358
France,33
Gambia,220
Georgia,995
Germany,49
Ghana,233
Gibraltar,350
Global MOBILE Satelllite,881
Greece,30
Guatemala,502
Guinea Republic,224
Guyana,592
Honduras,504
Hong Kong,852
Hungary,36
Iceland,354
India,91
Indonesia,62
Inmarsat SATELLITE,870
International Networks SATELLITE,882
International Networks SATELLITE,883
Iran,98
Iraq,964
Ireland,353
Israel,972
Italy,39
Ivory Coast,225
Jamaica,1876
Japan,81
Jordan,962
Kazakhstan,7
Kenya,254
Kiribati,686
Kuwait,965
Kyrghyzstan,996
Laos,856
Latvia,371
Lebanon,961
Liberia,231
Libya,218
Liechtenstein,423
Lithuania,370
Luxembourg,352
Macau,853
Macedonia,389
Madagascar,261
Malawi,265
Malaysia,60
Maldives,960
Mali,223
Malta,356
Mauritania,222
Mauritius,230
Mexico,52
Moldova,373
Mongolia,976
Montenegro,382
Morocco,212
Mozambique,258
Myanmar,95
Namibia,264
Nepal,977
Netherlands,31
New Caledonia,687
New Zealand,64
Nicaragua,505
Niger,227
Nigeria,234
North Korea,850
Norway,47
Oman,968
Pakistan,92
Palestine,970
Panama,507
Papua New Guinea,675
Paraguay,595
Peru,51
Philippines,63
Poland,48
Portugal,351
Puerto Rico,1787
Puerto Rico,1939
Qatar,974
Reunion Island,262
Romania,40
Russia,7
Rwanda,250
Saint Kitts and Nevis,1869
Saint Lucia,1758
San Marino,378
Saudi Arabia,966
Senegal,221
Serbia,381
Singapore,65
Slovakia,421
Slovenia,386
Somalia,252
South Africa,27
South Korea,82
South Sudan,211
Spain,34
Sri Lanka,94
Sudan,249
Suriname,597
Swaziland,268
Sweden,46
Switzerland,41
Syria,963
Taiwan,886
Tajikistan,992
Tanzania,255
Thailand,66
Timor-Leste,670
Togo,228
Tokelau,690
Trinidad & Tobago,1868
Tunisia,216
Turkey,90
Turkmenistan,993
Uganda,256
Ukraine,380
United Arab Emirates,971
United Kingdom,44
United States,1
Uruguay,598
Uzbekistan,998
Venezuela,58
Vietnam,84
Western Samoa,685
Yemen,967
Zambia,260
Zimbabwe,263